year,title,artist,number
2013,니가 뭔데 (Who You?) ,G-DRAGON,4226211
2013,눈꽃 ,거미,4044859
2013,꼭 한번 만나고 싶다 ,바이브,4100925
2013,Bounce ,조용필,4089360
2013,I Got A Boy ,소녀시대 (GIRLS' GENERATION),4001331
2013,겨울사랑 ,The One (더원),4038857
2013,잘할 걸 ,버스커 버스커,4252726
2013,미치게 만들어 ,효린,4212782
2013,All Right ,림킴 (김예림),4144408
2013,어때 (Feat. 하림) ,긱스 (Geeks),4074419
2014,썸 (Feat. 릴보이 Of 긱스) ,소유 (SOYOU),4433490
2014,야생화 ,박효신,4543502
2014,"눈, 코, 입 ",태양,4671151
2014,금요일에 만나요 (Feat. 장이정 Of HISTORY) ,아이유,4369827
2014,한여름밤의 꿀 ,San E (산이),4681146
2014,봄 사랑 벚꽃 말고 ,HIGH4 (하이포),4579468
2014,Mr. Chu (On Stage) ,Apink (에이핑크),4562881
2014,너의 의미 (Feat. 김창완) ,아이유,4646573
2014,Something ,걸스데이,4383773
2014,200% ,AKMU (악뮤),4583482
2014,그대가 분다 ,엠씨더맥스 (M.C the MAX),4381724
2014,사람냄새 ,정인,4660909
2014,그 중에 그대를 만나 ,이선희,4544242
2014,Come Back Home ,2NE1,4478187
2014,짧은 치마 (Miniskirt) ,AOA,4400561
2014,너의 모든 순간 ,성시경,4446485
2014,너를 너를 너를 ,플라이 투 더 스카이,4639518
2014,신촌을 못가 ,포스트맨 (POSTMEN),4016085
2014,예뻐졌다 (Feat. 지코 Of Block B) ,박보람,4789747
2014,Touch My Body ,씨스타,4756304
2014,공허해 ,WINNER,4806686
2014,노래가 늘었어 ,에일리(Ailee),4383349
2014,너 사용법 ,에디킴,4586092
2014,N/A,윤민수(바이브),4582959
2014,안녕 ,효린,4412196
2014,감아 (Feat. Crush) ,로꼬,4527879
2014,Darling ,걸스데이,4734486
2014,나의 옛날이야기 ,아이유,4645220
2014,HER ,블락비 (Block B),4764928
2014,까탈레나 (Catallena) ,오렌지 캬라멜,4503810
2014,단발머리 (Short Hair) ,AOA,4693165
2014,너를 원해 (Feat. Beenzino) ,정기고,4603433
2014,중독 (Overdose) ,EXO-K,4633162
2014,너를 사랑해 ,윤미래,4843704
2014,나 왜이래 (Feat. 강민희 Of 미스에스) ,San E (산이),4665220
2014,흔한 노래 ,임창정,4512170
2014,보름달 (Feat. Lena) ,선미,4454382
2014,너 아님 안돼 ,2NE1,4478188
2014,Give Love ,AKMU (악뮤),4583481
2014,견딜만해 (Feat. 효린 Of 씨스타) ,매드클라운,4579474
2014,애타는 마음 ,울랄라세션,4711007
2014,손대지마 ,에일리(Ailee),5394265
2014,그런 남자 ,Bro,4535038
2014,자니 (Feat. Dynamic Duo) ,프라이머리,3726617
2014,My Destiny ,린,4375626
2014,연결고리#힙합 ,BOBBY,4854588
2014,오늘부터 1일 (Day 1) ,케이윌,4706174
2014,미운오리새끼 ,god,4635701
2014,이제 그만 싸우자 ,허각,4723861
2014,틈 ,소유 (SOYOU),5390701
2015,뱅뱅뱅 (BANG BANG BANG) ,BIGBANG (빅뱅),5719286
2015,같은 시간 속의 너 ,나얼,5576417
2015,꺼내 먹어요 ,Zion.T,5702706
2015,이럴거면 그러지말지 (Feat. Young K) ,백아연,5704397
2015,위잉위잉 ,혁오 (HYUKOH),5385974
2015,LOSER ,BIGBANG (빅뱅),5682700
2015,BAE BAE ,BIGBANG (빅뱅),5684826
2015,그냥 (Just) ,Zion.T,5572312
2015,양화대교 ,Zion.T,5389475
2015,우연히 봄 ,로꼬,5650996
2015,또 다시 사랑 ,임창정,7861392
2015,레옹 ,"이유 갓지(GOD G) 않은 이유 (박명수, 아이유)",5826461
2015,SHAKE IT ,씨스타,5748499
2015,와리가리 ,혁오 (HYUKOH),5713422
2015,위아래 ,EXID,4840271
2015,심쿵해 (Heart Attack) ,AOA,5748406
2015,겁 (Feat. 태양) ,MINO (송민호),5826447
2015,Puss (Prod.by 라이머) ,신지민,5634219
2015,다른 남자 말고 너 ,미쓰에이,5644636
2015,두사랑 (Feat. 매드클라운) ,다비치,5628083
2015,마음 ,아이유,5700639
2015,CALL ME BABY ,EXO,5644620
2015,Me You (Feat. 백예린 Of 15&) ,San E (산이),5674119
2015,그 남잔 말야 ,엠씨더맥스 (M.C the MAX),5668985
2015,목소리 ,노을,5536206
2015,음오아예 (Um Oh Ah Yeh) ,마마무 (Mamamoo),5743804
2015,사월의 눈 ,허각,5629186
2015,어머님이 누구니 (Feat. 제시) ,박진영,5658708
2015,취향저격 ,iKON,7854179
2015,야생화 ,박효신,4543502
2015,Ah Yeah ,EXID,5660040
2015,오늘부터 우리는 (Me Gustas Tu) ,여자친구 (GFRIEND),5791706
2015,화 (Feat. 진실 Of Mad Soul Child) (Fire) ,매드클라운,5531227
2015,I (Feat. 버벌진트) ,태연 (TAEYEON),7877917
2015,IF YOU ,BIGBANG (빅뱅),5760115
2015,바람이나 좀 쐐 (Feat. 우혜미) ,개리,7858908
2015,맙소사 ,"황태지 (황광희, 태양, 지드래곤)",5824839
2015,거북선 (Feat. 팔로알토) ,Ja Mezz,5804040
